NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
          Private Health Insurance,49,52,59,66,76,83,88,95,111,127,148,168,190,214,242,259,305,353,408,479,560,679,802,893,970,"1,066","1,138","1,213","1,402","1,566","1,708","1,866","2,009","2,269","2,550","2,706","3,057","3,342","3,596","3,681","3,808","3,977","4,438","4,912","5,794","6,176","6,628","7,149","7,528","8,132","8,952","10,073","10,095","9,977","10,650","11,742","12,433","12,823","13,010","13,799","14,137"
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,4,11,14,16,18,21,25,29,38,48,57,70,89,110,131,153,201,261,302,342,411,481,489,635,762,932,"1,109","1,279","1,440","1,568","1,660","1,713","1,693","1,655","1,783","2,044","2,368","2,680","3,042","3,509","3,711","3,930","4,226","4,577","4,776","4,949","5,090","5,143","5,187","5,038","4,889","4,931","4,912","4,822","4,417"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,18,35,72,124,135,106,180,312,445,711,"1,000","1,529","2,084","2,709","3,536","3,809","4,259","4,811","5,104","5,721","6,377","6,968","7,814","9,229","10,567","12,947","14,344","16,727","19,108","21,784","24,186","26,333","27,917","30,080","32,492","36,042","40,207","43,279","46,860","49,888","53,329","57,437","60,037","65,784","69,691","70,703","75,873","80,130","84,805","94,075","100,801","107,290","110,180","111,796","121,870"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,8,15,36,67,71,61,91,165,247,395,597,869,"1,181","1,533","1,936","2,094","2,350","2,664","2,817","3,159","3,558","3,896","4,440","5,260","6,029","7,268","8,277","9,758","10,917","12,385","13,973","14,920","15,786","17,031","18,453","20,492","22,790","25,510","27,319","28,308","30,100","32,443","35,306","43,745","46,820","42,499","43,015","45,538","48,378","54,014","58,000","61,163","63,062","64,622","77,372"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,10,20,35,57,64,45,89,146,198,316,403,660,904,"1,176","1,599","1,715","1,909","2,147","2,287","2,561","2,818","3,072","3,374","3,969","4,537","5,679","6,066","6,969","8,191","9,400","10,213","11,413","12,131","13,049","14,039","15,550","17,418","17,769","19,541","21,580","23,229","24,993","24,731","22,039","22,871","28,203","32,858","34,592","36,428","40,062","42,801","46,127","47,118","47,174","44,498"
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,50,120,217,233,293,281,430,417,605,573,681,949,749,754,860,953,997,"1,258","1,415","1,526","1,650","1,846","2,016"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,34,86,153,165,207,200,294,287,416,400,490,707,544,545,611,670,695,953,"1,272","1,371","1,531","1,686","1,711"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,16,34,64,68,85,81,136,130,188,174,190,242,205,209,250,283,302,306,144,155,119,160,304
         Department of Defense,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Department of Veterans Affairs,34,36,37,39,42,47,50,61,73,67,38,28,34,37,44,52,65,49,67,69,82,95,135,198,154,129,137,137,136,139,155,176,171,197,193,205,243,235,258,245,264,283,300,408,468,487,510,511,627,670,826,824,919,921,948,957,968,946,"1,012","1,100",911
     Other Third Party Payers and Programs,302,361,383,422,462,503,574,634,708,778,839,932,"1,106","1,225","1,409","1,635","1,930","2,271","2,611","3,121","3,816","4,322","4,854","5,369","5,910","6,474","6,815","7,207","8,040","8,832","9,729","10,567","11,152","12,178","13,156","14,176","15,522","16,737","19,656","20,745","22,430","24,110","25,505","27,015","28,578","30,022","31,846","34,111","35,484","37,208","38,434","39,196","40,517","41,475","43,861","46,980","49,386","51,527","54,064","55,961","58,678"
         Worksite Health Care,62,66,71,78,87,97,110,128,147,171,196,217,246,281,327,373,448,530,617,719,826,953,"1,041","1,156","1,306","1,393","1,522","1,685","1,867","2,035","2,228","2,343","2,484","2,610","2,731","2,863","2,975","3,112","3,220","3,323","3,518","3,655","3,775","3,925","4,102","4,282","4,389","4,542","4,537","4,564","4,697","4,886","5,157","5,352","5,680","6,167","6,658","6,921","7,192","7,566","5,416"
         Other Private Revenues,15,16,17,20,23,27,25,31,39,47,56,64,73,84,97,51,67,87,100,151,202,354,631,745,882,"1,040","1,066","1,046","1,238","1,454","1,319","1,251","1,208","1,440","1,624","1,773","2,398","2,907","4,355","4,458","4,709","4,739","4,849","5,051","5,398","6,028","7,702","9,119","8,892","9,375","9,774","9,737","11,219","11,869","12,706","14,489","16,238","17,034","17,623","18,163","19,001"
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,12,14,21,33,36,42,47,42,47,60,63,62,65,63,68,108,134,164,177,184,202,196,204,199,202,219,256,256,272,284,284,292,298,329,363,398,401,407,396,404,408,439,457,479,481,525
         Workers' Compensation,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         General Assistance,3,3,3,3,3,4,5,7,9,10,12,14,17,20,24,29,32,33,37,41,67,78,70,69,84,87,80,77,76,84,104,101,130,122,217,376,375,281,125,94,69,103,100,118,124,234,210,248,444,624,507,695,561,606,822,821,757,596,590,741,772
         Maternal/Child Health,64,91,94,106,118,125,137,138,151,174,164,174,178,177,207,228,255,278,303,349,396,399,432,540,546,630,675,703,720,762,778,915,"1,004","1,103","1,206","1,261","1,328","1,408","1,478","1,531","1,617","1,669","1,737","1,783","1,771","1,754","1,703","1,923","2,103","2,018","2,016","1,878","1,732","1,806","1,988","1,980","1,927","2,031","2,029","1,916","1,957"
                          Federal  ,13,21,22,23,29,36,45,47,49,59,41,53,67,57,73,86,96,104,115,121,124,119,121,158,130,151,142,147,151,162,159,177,190,200,212,211,209,207,213,218,220,222,228,227,226,221,212,211,205,207,210,206,197,191,203,205,206,209,206,199,203
                          State and Local,51,71,72,83,89,89,92,91,101,115,122,121,111,120,133,143,159,174,189,228,272,280,310,382,416,480,534,556,569,600,620,738,814,903,994,"1,050","1,119","1,201","1,264","1,313","1,397","1,447","1,509","1,556","1,545","1,533","1,491","1,712","1,898","1,811","1,806","1,672","1,536","1,615","1,785","1,775","1,722","1,822","1,822","1,717","1,754"
         Vocational Rehabilitation,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Federal Programs*,16,21,25,37,38,39,78,86,85,71,73,103,193,211,245,227,297,286,281,362,478,388,307,300,329,341,344,382,435,480,607,810,920,"1,081","1,251","1,311","1,521","1,781","1,972","2,236","2,490","2,668","2,789","2,931","3,045","3,046","3,044","3,136","3,261","3,468","3,495","3,599","3,594","3,465","3,668","3,743","3,830","4,025","4,113","4,270","8,000"
         SAMHSA,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,127,127,147,185,189,248,253,211,208,222,197,211,241,328,270,551,726,762,756,832,948,885,697,"1,198","1,378","1,477","1,621","1,786","1,874","1,891","1,994","1,945","1,960","2,006","2,092","2,210","2,316","2,104","2,017","2,155","2,135","2,343","3,074","4,113","4,144","4,170"
         Other State and Local Programs**,21,24,26,34,42,44,32,29,36,42,47,54,78,106,132,188,257,380,495,675,894,"1,142","1,367","1,509","1,635","1,804","1,869","1,968","2,214","2,493","2,741","2,923","3,064","3,334","3,407","3,657","3,954","4,313","4,913","5,192","5,848","6,712","7,325","8,030","8,769","9,039","8,992","8,990","9,824","10,503","11,044","11,403","11,422","11,545","11,841","12,408","12,160","12,076","12,363","12,868","13,256"
         School Health,122,140,147,143,151,168,187,215,242,263,290,308,321,346,377,400,433,509,559,600,663,708,753,795,847,919,986,"1,040","1,099","1,185","1,293","1,363","1,416","1,553","1,701","1,785","1,890","2,037","2,197","2,330","2,483","2,689","2,888","3,032","3,193","3,363","3,569","3,895","4,089","4,201","4,293","4,282","4,321","4,418","4,599","4,830","5,033","5,314","5,562","5,812","5,580"
"Total CMS Programs (Medicaid, CHIP and Medicare)",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,22,46,86,140,153,127,205,341,483,758,"1,057","1,599","2,173","2,819","3,667","3,962","4,460","5,071","5,406","6,063","6,788","7,449","8,303","9,864","11,329","13,878","15,453","18,005","20,548","23,352","25,846","28,046","29,659","31,855","34,493","38,320","42,868","46,240","50,332","53,814","57,644","61,940","64,944","71,310","75,216","76,406","81,824","86,227","90,989","100,372","107,105","113,747","116,742","118,464","128,303"
Total Administration and Total Net Cost of Health Insurance Expenditures,"1,059","1,153","1,278","1,317","1,500","1,824","2,044","2,118","2,565","2,390","2,608","3,191","4,281","4,761","4,471","4,872","6,692","9,336","11,071","11,908","11,910","13,921","16,120","18,258","23,249","24,888","22,215","20,811","26,449","33,655","38,269","39,207","42,471","51,738","55,528","57,258","59,474","60,868","63,281","69,329","79,984","89,220","110,877","130,581","139,257","148,733","163,532","170,652","166,216","164,845","180,310","188,329","195,493","205,562","230,188","240,965","254,193","265,009","294,391","283,998","349,794"
     Out of pocket,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
     Health Insurance,773,844,923,951,"1,041","1,222","1,471","1,570","1,923","1,734","1,957","2,521","3,498","3,851","3,560","3,921","5,539","7,778","9,171","9,583","9,374","11,116","12,984","15,114","20,002","21,410","18,964","17,180","22,128","29,025","33,024","34,167","36,541","43,920","46,737","48,227","50,033","52,026","54,602","60,420","69,077","75,975","93,512","107,957","114,317","122,562","135,671","145,173","145,766","146,977","162,432","169,743","173,672","179,223","202,197","212,568","226,836","237,278","264,220","254,239","318,226"
          Private Health Insurance,761,831,910,938,"1,028","1,209","1,286","1,238","1,459","1,207","1,278","1,792","2,640","2,840","2,339","2,525","3,831","6,010","7,032","7,281","6,826","8,198","9,993","11,759","16,210","17,036","14,349","12,208","16,413","22,580","25,814","26,200","27,738","33,766","34,336","34,371","36,363","35,212","35,650","40,461","46,193","50,398","64,770","77,422","80,465","83,958","87,170","92,315","90,098","85,529","94,759","98,429","99,382","99,483","107,382","106,563","112,078","122,333","140,102","129,499","151,121"
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,120,193,287,310,397,407,474,548,680,726,879,754,"1,002","1,022","1,127","1,313","1,290","1,443","1,608","2,069","2,116","2,206","2,652","2,969","3,046","3,493","3,806","3,987","4,569","4,966","5,732","7,014","7,857","7,138","8,496","8,575","8,830","8,667","11,026","13,484","21,393","24,041","24,957","28,541","30,714","32,747","34,698","35,316","38,083","41,638","46,857","45,777","52,859","56,430","74,962"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,52,122,156,191,251,284,341,411,483,607,759,944,"1,059","1,198","1,335","1,512","1,593","1,780","2,052","2,176","2,364","2,620","2,907","3,301","3,968","4,290","4,769","5,920","7,558","8,613","7,660","9,498","10,697","12,190","13,440","15,696","18,004","19,516","19,997","21,770","23,366","24,742","26,507","28,362","31,659","33,063","34,482","39,311","51,238","58,489","61,490","62,484","64,637","61,443","84,276"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,26,64,81,102,135,166,187,236,283,360,492,579,699,799,829,972,"1,032","1,060","1,205","1,324","1,410","1,493","1,656","1,909","2,278","2,438","2,580","3,281","3,710","4,203","4,223","5,303","5,928","6,859","7,526","8,725","10,078","11,065","11,178","12,059","12,434","13,705","14,880","16,818","19,226","19,083","19,532","22,488","31,650","38,108","39,912","38,330","40,369","38,246","57,009"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,25,59,75,88,116,118,154,175,200,247,267,365,361,399,506,540,560,720,847,852,954,"1,127","1,251","1,392","1,690","1,852","2,189","2,639","3,848","4,409","3,437","4,195","4,769","5,331","5,914","6,971","7,926","8,451","8,820","9,711","10,931","11,037","11,627","11,544","12,433","13,980","14,950","16,823","19,588","20,382","21,577","24,154","24,269","23,197","27,267"
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,51,233,482,678,924,991,"1,017","1,117","1,177","1,352","1,514","1,573","1,834","1,952","1,928","2,133","2,349","2,610","2,908","2,966","3,178","3,231","4,142"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,36,163,335,472,641,689,707,776,812,937,"1,055","1,099","1,276","1,355","1,336","1,470","1,633","1,939","2,635","2,708","2,930","2,907","3,441"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,15,71,147,205,283,302,310,341,365,415,459,473,558,596,593,663,716,671,273,258,248,324,701
         Department of Defense,2,2,2,2,2,2,2,5,9,11,13,17,21,25,26,26,29,32,32,35,37,42,53,73,68,68,82,99,111,129,152,131,168,172,194,203,206,234,277,325,385,539,869,"1,203","1,609","2,017","2,381","2,595","2,624","2,890","3,429","3,521","3,152","2,926","3,108","3,033","3,101","2,993","2,637","2,551","2,550"
         Department of Veterans Affairs,10,10,11,11,12,12,12,12,12,16,19,21,23,26,32,37,41,38,46,47,50,52,55,60,64,61,53,47,45,46,44,53,60,76,80,75,72,68,69,73,80,89,114,158,203,215,184,128,66,82,36,32,31,53,36,235,402,725,807,"1,084","1,174"
     Other Third Party Payers and Programs,287,309,354,366,459,601,572,548,641,656,651,670,783,910,910,951,"1,152","1,557","1,899","2,325","2,535","2,805","3,136","3,144","3,247","3,478","3,252","3,631","4,320","4,630","5,245","5,040","5,930","7,818","8,791","9,031","9,440","8,842","8,679","8,908","10,907","13,245","17,365","22,624","24,940","26,171","27,861","25,479","20,450","17,868","17,878","18,586","21,821","26,339","27,991","28,398","27,357","27,730","30,171","29,759","31,568"
         Worksite Health Care,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Private Revenues,78,85,94,96,106,124,132,127,150,125,132,185,272,293,242,262,398,625,734,762,715,865,"1,067","1,260","1,733","1,778","1,509","1,286","1,712","2,331","2,675","2,663","2,800","3,388","3,434","3,479","3,723","3,637","3,714","4,257","4,860","5,306","6,809","9,145","10,482","10,443","11,710","10,495","9,111","9,698","9,845","8,604","8,974","10,160","9,932","9,641","8,738","10,115","12,600","13,224","16,034"
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,6,8,9,11,12,13,15,15,17,20,22,21,21,24,28,34,40,45,48,54,59,59,62,67,74,84,91,92,97,98,98,101,101,101,114,139,143,155,156,186,196,205,206,213,209,205
         Workers' Compensation,180,184,209,216,241,269,310,350,414,450,480,439,462,569,618,631,652,820,"1,045","1,433","1,682","1,789","1,899","1,715","1,344","1,516","1,555","2,152","2,402","2,087","2,330","2,113","2,839","4,099","5,001","5,186","5,340","4,829","4,572","4,229","5,593","7,445","10,043","12,955","13,931","15,205","15,620","14,419","10,773","7,573","7,159","8,761","10,990","13,010","15,080","16,354","16,844","16,551","16,458","15,457","14,460"
         General Assistance,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Maternal/Child Health,7,11,11,12,14,15,18,20,24,27,26,29,31,32,33,29,39,49,48,53,59,61,63,73,71,82,87,94,97,101,105,121,133,142,151,156,163,174,177,184,194,200,208,213,211,210,202,234,252,239,238,222,208,216,235,230,226,235,239,234,239
                          Federal  ,1,1,1,1,1,1,2,2,2,3,3,4,5,5,4,4,5,5,6,6,6,6,5,4,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4
                          State and Local,7,10,10,11,12,14,16,18,21,24,23,26,27,27,29,25,34,44,42,47,54,55,58,69,69,79,84,91,94,98,102,117,130,139,147,153,159,170,174,181,190,196,204,209,207,206,199,230,249,236,234,218,205,213,232,227,222,231,235,230,235
         Vocational Rehabilitation,1,1,1,2,2,2,3,5,7,8,9,10,11,12,15,18,18,18,18,20,22,24,24,25,25,26,28,30,31,32,33,34,37,38,36,35,37,41,43,44,47,49,51,51,52,50,53,54,53,58,62,62,60,59,59,60,61,62,63,65,66
                          Federal  ,1,1,1,1,1,1,2,3,5,6,7,8,8,10,12,14,14,14,14,15,17,18,18,18,19,20,21,23,24,24,26,27,28,29,27,26,27,31,32,33,36,37,39,39,40,38,40,41,40,44,48,48,46,46,46,46,47,47,48,50,51
                          State and Local,  -    ,  -    ,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,8,9,9,9,9,9,10,10,11,12,12,12,12,12,11,13,13,12,13,14,13,13,13,14,14,14,14,15,15,15
         Other Federal Programs*,10,14,20,22,40,70,47,25,26,24,4,6,6,4,3,  -    ,30,30,35,37,34,43,60,48,49,50,49,43,39,40,45,43,49,59,59,65,84,69,67,73,79,86,97,107,106,107,115,114,98,122,371,724,"1,350","2,652","2,419","1,834","1,200",483,518,491,485
         SAMHSA,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,5,8,7,9,8,10,9,8,7,4,4,4,5,15,12,22,25,27,43,56,51,35,31,39,46,50,68,65,57,60,58,59,62,62,65,64,70,85,85,80,82,83,78,80,80,79
         Other State and Local Programs**,10,13,18,17,56,120,63,21,21,22,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         School Health,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
"Total CMS Programs (Medicaid, CHIP and Medicare)",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,172,315,443,501,647,691,815,959,"1,163","1,333","1,639","1,698","2,061","2,220","2,462","2,825","2,883","3,223","3,660","4,245","4,480","4,826","5,559","6,270","7,013","7,783","8,575","9,907","12,127","13,578","13,391","16,512","18,606","19,562","22,418","24,949","27,759","29,174","32,039","36,371","45,936","50,135","52,979","58,476","64,207","67,761","71,108","76,760","91,670","102,737","111,255","111,227","120,674","121,104","163,381"
State and Local  Administration Expenditures,30,38,43,44,85,150,123,118,138,157,166,169,210,237,273,321,362,481,480,532,652,696,719,906,"1,063","1,105","1,289","1,546","1,737","1,941","2,249","2,564","2,943","3,132","4,223","4,637","3,632","4,183","4,513","4,697","5,634","7,395","8,730","10,133","10,517","10,561","10,607","9,854","9,413","8,996","8,470","9,211","9,332","10,632","12,027","11,280","12,078","12,265","12,577","12,668","12,961"
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,25,58,73,86,113,114,150,170,195,240,260,357,352,390,495,529,546,695,809,807,911,"1,082","1,183","1,290","1,550","1,708","1,985","2,336","3,468","3,911","2,827","3,446","3,917","4,285","4,733","5,424","5,826","6,350","6,504","6,940","7,855","7,770","8,181","8,424","8,348","8,699","8,592","9,063","9,702","8,878","9,720","10,324","10,651","11,031","11,410"
          Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,25,58,73,86,113,114,150,170,195,240,260,357,352,390,495,529,546,695,809,807,911,"1,082","1,183","1,290","1,550","1,708","1,985","2,336","3,468","3,911","2,827","3,446","3,909","4,244","4,643","5,311","5,683","6,194","6,347","6,762","7,680","7,563","7,957","8,199","8,107","8,425","8,298","8,722","9,329","8,524","9,578","10,178","10,519","10,851","11,116"
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
